Marital_status,Application_mode,Application_order,Course,Daytime_evening_attendance,Previous_qualification,Previous_qualification_grade,Nacionality,Mothers_qualification,Fathers_qualification,Mothers_occupation,Fathers_occupation,Admission_grade,Displaced,Educational_special_needs,Debtor,Tuition_fees_up_to_date,Gender,Scholarship_holder,Age_at_enrollment,International,Curricular_units_1st_sem_credited,Curricular_units_1st_sem_enrolled,Curricular_units_1st_sem_evaluations,Curricular_units_1st_sem_approved,Curricular_units_1st_sem_grade,Curricular_units_1st_sem_without_evaluations,Curricular_units_2nd_sem_credited,Curricular_units_2nd_sem_enrolled,Curricular_units_2nd_sem_evaluations,Curricular_units_2nd_sem_approved,Curricular_units_2nd_sem_grade,Curricular_units_2nd_sem_without_evaluations,Unemployment_rate,Inflation_rate,GDP,Status,Total_units_enrolled,Total_units_approved,Approval_rate,Weighted_avg_grade,Total_units_without_eval,Econ_pressure
1,17,5,171,1,1,122.0,1,19,12,5,9,127.3,1,0,0,1,1,0,20,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,10.8,1.4,1.74,Dropout,0,0,0.0,0.0,0,22.68
1,15,1,9254,1,1,160.0,1,1,3,3,3,142.5,1,0,0,0,1,0,19,0,0,6,6,6,14.0,0,0,6,6,6,13.666666666666666,0,13.9,-0.3,0.79,Graduate,12,12,1.0,90.83333333333333,0,-6.255
1,1,5,9070,1,1,122.0,1,37,37,9,9,124.8,1,0,0,0,1,0,19,0,0,6,0,0,0.0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout,12,0,0.0,0.0,0,22.68
1,17,2,9773,1,1,122.0,1,38,37,5,3,119.6,1,0,0,1,0,0,20,0,0,6,8,6,13.428571428571429,0,0,6,10,5,12.4,0,9.4,-0.8,-3.12,Graduate,12,11,0.9166666666666666,86.77142857142857,0,-7.5200000000000005
2,39,1,8014,0,1,100.0,1,37,38,9,9,141.5,0,0,0,1,0,0,45,0,0,6,9,5,12.333333333333334,0,0,6,6,6,13.0,0,13.9,-0.3,0.79,Graduate,12,11,0.9166666666666666,80.5,0,-8.34
2,39,1,9991,0,19,133.1,1,37,37,9,7,114.8,0,0,1,1,1,0,50,0,0,5,10,5,11.857142857142858,0,0,5,17,5,11.5,5,16.2,0.3,-0.92,Graduate,10,10,1.0,65.03571428571429,5,21.869999999999997
1,1,1,9500,1,1,142.0,1,19,38,7,10,128.4,1,0,0,1,0,1,18,0,0,7,9,7,13.3,0,0,8,8,8,14.345,0,15.5,2.8,-4.06,Graduate,15,15,1.0,100.75066666666667,0,43.4
1,18,4,9254,1,1,119.0,1,37,37,9,9,113.1,1,0,0,0,1,0,22,0,0,5,5,0,0.0,0,0,5,5,0,0.0,0,15.5,2.8,-4.06,Dropout,10,0,0.0,0.0,0,65.1
1,1,3,9238,1,1,137.0,62,1,1,9,9,129.3,0,0,0,1,0,1,21,1,0,6,8,6,13.875,0,0,6,7,6,14.142857142857142,0,16.2,0.3,-0.92,Graduate,12,12,1.0,90.32142857142857,0,4.859999999999999
1,1,1,9238,1,1,138.0,1,1,19,4,7,123.0,1,0,1,0,0,0,18,0,0,6,9,5,11.4,0,0,6,14,2,13.5,0,8.9,1.4,3.51,Dropout,12,7,0.5833333333333334,75.15,0,18.689999999999998
1,1,1,9670,1,1,139.0,1,38,19,5,7,130.6,1,0,0,1,0,0,18,0,0,6,6,6,12.333333333333334,0,0,6,7,5,14.2,0,13.9,-0.3,0.79,Graduate,12,11,0.9166666666666666,81.1,0,-4.17
1,1,1,9500,1,1,136.0,1,19,38,9,9,119.3,1,0,0,1,0,1,18,0,0,8,8,7,13.214285714285714,0,0,8,8,7,13.214285714285714,0,12.7,3.7,-1.7,Graduate,16,14,0.875,112.32142857142857,0,46.99
1,1,2,9853,1,1,133.0,1,19,37,4,9,130.2,1,0,0,1,0,0,19,0,0,6,6,0,0.0,0,0,6,0,0,0.0,0,12.7,3.7,-1.7,Dropout,12,0,0.0,0.0,0,46.99
1,53,1,9254,1,42,110.0,1,1,1,4,7,111.8,1,0,0,1,0,1,21,0,0,6,7,6,10.571428571428571,0,0,6,8,5,11.0,0,8.9,1.4,3.51,Graduate,12,11,0.9166666666666666,68.92857142857143,0,12.459999999999999
1,1,1,9085,1,1,149.0,1,38,37,5,5,137.1,1,0,0,1,0,1,18,0,0,5,7,4,13.25,0,0,5,5,5,12.0,0,10.8,1.4,1.74,Graduate,10,9,0.9,72.25,0,15.12
1,1,1,9773,1,1,127.0,1,19,37,9,3,120.7,1,0,0,1,0,0,20,0,0,6,6,5,13.2,0,0,6,7,0,0.0,0,15.5,2.8,-4.06,Dropout,12,5,0.4166666666666667,79.19999999999999,0,43.4
1,18,1,9238,1,1,137.0,1,19,38,5,8,137.4,1,0,0,1,0,0,18,0,0,6,10,1,12.0,0,0,6,14,2,11.0,0,10.8,1.4,1.74,Enrolled,12,3,0.25,77.5,0,15.12
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13.30625,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate,15,15,1.0,100.90108333333333,0,43.4
1,1,1,9130,1,1,137.0,1,3,19,3,5,136.3,1,0,0,1,0,0,20,0,0,5,8,4,12.5,1,0,5,8,4,12.25,2,10.8,1.4,1.74,Graduate,10,8,0.8,68.625,3,15.12
